Title,Year,IMDb Rating,Runtime,Votes
1. The Shawshank Redemption,1994,9.3 (3M),2h 22m, (3M
2. The Godfather,1972,9.2 (2.1M),2h 55m, (2.1M
3. The Dark Knight,2008,9.0 (3M),2h 32m, (3M
4. The Godfather Part II,1974,9.0 (1.4M),3h 22m, (1.4M
5. 12 Angry Men,1957,9.0 (914K),1h 36m, (914K
6. The Lord of the Rings: The Return of the King,2003,9.0 (2.1M),3h 21m, (2.1M
7. Schindler's List,1993,9.0 (1.5M),3h 15m, (1.5M
8. Pulp Fiction,1994,8.9 (2.3M),2h 34m, (2.3M
9. The Lord of the Rings: The Fellowship of the Ring,2001,8.9 (2.1M),2h 58m, (2.1M
"10. The Good, the Bad and the Ugly",1966,8.8 (845K),2h 58m, (845K
11. Forrest Gump,1994,8.8 (2.4M),2h 22m, (2.4M
12. The Lord of the Rings: The Two Towers,2002,8.8 (1.9M),2h 59m, (1.9M
13. Fight Club,1999,8.8 (2.4M),2h 19m, (2.4M
14. Inception,2010,8.8 (2.7M),2h 28m, (2.7M
15. Star Wars: Episode V - The Empire Strikes Back,1980,8.7 (1.4M),2h 4m, (1.4M
16. The Matrix,1999,8.7 (2.1M),2h 16m, (2.1M
17. Goodfellas,1990,8.7 (1.3M),2h 25m, (1.3M
18. One Flew Over the Cuckoo's Nest,1975,8.7 (1.1M),2h 13m, (1.1M
19. Interstellar,2014,8.7 (2.3M),2h 49m, (2.3M
20. Se7en,1995,8.6 (1.9M),2h 7m, (1.9M
21. It's a Wonderful Life,1946,8.6 (524K),2h 10m, (524K
22. Seven Samurai,1954,8.6 (381K),3h 27m, (381K
23. The Silence of the Lambs,1991,8.6 (1.6M),1h 58m, (1.6M
24. Saving Private Ryan,1998,8.6 (1.6M),2h 49m, (1.6M
25. City of God,2002,8.6 (831K),2h 10m, (831K
26. The Green Mile,1999,8.6 (1.5M),3h 9m, (1.5M
27. Life Is Beautiful,1997,8.6 (771K),1h 56m, (771K
28. Terminator 2: Judgment Day,1991,8.6 (1.2M),2h 17m, (1.2M
29. Star Wars: Episode IV - A New Hope,1977,8.6 (1.5M),2h 1m, (1.5M
30. Back to the Future,1985,8.5 (1.4M),1h 56m, (1.4M
31. Spirited Away,2001,8.6 (898K),2h 4m, (898K
32. The Pianist,2002,8.5 (958K),2h 30m, (958K
33. Gladiator,2000,8.5 (1.7M),2h 35m, (1.7M
34. Parasite,2019,8.5 (1M),2h 12m, (1M
35. Psycho,1960,8.5 (747K),1h 49m, (747K
36. The Lion King,1994,8.5 (1.2M),1h 28m, (1.2M
37. Grave of the Fireflies,1988,8.5 (341K),1h 28m, (341K
38. The Departed,2006,8.5 (1.5M),2h 31m, (1.5M
39. Whiplash,2014,8.5 (1.1M),1h 46m, (1.1M
40. Harakiri,1962,8.6 (78K),2h 13m, (78K
41. American History X,1998,8.5 (1.2M),1h 59m, (1.2M
42. The Prestige,2006,8.5 (1.5M),2h 10m, (1.5M
43. Léon: The Professional,1994,8.5 (1.3M),1h 50m, (1.3M
